AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,label
1.860090556274256457e-01,1.113906856403623080e-01,1.536351875808538159e-01,6.780077619663657518e-02,5.148124191461837806e-02,2.109120310478656279e-01,1.001423027166882945e-01,2.307244501940489967e-01,2.529236739974129455e-01,1.491526520051746907e-01,2.504463130659767556e-01,6.246701164294935493e-01,1.514553686934024257e-01,2.216494178525224290e-01,3.478913324708919341e-01,8.129818887451462084e-01,2.293984476067269240e-01,2.664941785252263884e-01,1.849935316946959840e-01,5.297542043984475590e-01,1.532988357050452666e-01,2.069857697283311940e-02,3.622250970245795287e-02,7.115135834411384468e-03,9.055627425614488912e-02,4.398447606727037829e-02,2.166882276843467015e-01,3.712807244501940551e-01,1.862871927554980711e-01,1.494178525226390608e-01,1.966364812419146291e-01,2.723156532988357248e-01,1.300129366106080320e-01,8.020698576972833116e-02,1.371280724450194000e-01,0.000000000000000000e+00
4.177795786061589967e-01,9.823338735818470946e-02,3.939546191247972340e-01,1.304538087520259182e-01,4.521880064829821716e-02,2.101620745542950863e-01,1.821555915721232710e-01,5.306158833063209235e-01,8.115072933549433154e-02,6.282982171799027515e-01,1.320340356564017936e+00,1.781085899513776161e+00,4.225283630470019758e-01,3.770016207455429424e-01,7.946677471636954815e-01,1.544927066450567876e+00,2.089789303079419291e-01,3.468395461912479605e-01,4.619124797406807259e-01,3.889789303079416727e-01,2.901134521880064931e-01,0.000000000000000000e+00,6.482982171799027242e-03,2.544570502431118264e-01,2.350081037277147455e-01,2.755267423014586686e-02,4.197730956239870137e-01,6.823338735818476053e-01,2.917341977309562129e-01,6.239870340356563627e-01,4.327390599675851046e-01,8.914100486223662523e-02,1.361426256077795660e-01,2.333873581847649981e-01,2.042139384116693768e-01,0.000000000000000000e+00
2.537142857142857255e-01,1.742857142857143216e-02,3.011428571428571010e-01,2.514285714285714041e-02,1.252285714285713780e+00,9.428571428571430602e-01,8.371428571428571330e-02,6.125714285714286556e-01,1.407142857142857029e+00,1.272571428571428687e+00,2.279999999999999805e-01,5.594285714285713862e-01,3.808571428571428386e-01,2.657142857142856876e-02,3.479999999999999760e-01,4.062857142857143611e-01,1.359999999999999543e-01,2.000000000000000111e-01,5.142857142857142350e-01,1.142857142857142821e-01,0.000000000000000000e+00,8.000000000000000444e-01,8.000000000000000444e-01,0.000000000000000000e+00,7.428571428571428825e-01,8.000000000000000444e-01,8.000000000000000444e-01,1.714285714285714302e-01,1.428571428571428492e-01,2.285714285714285643e-01,5.428571428571428159e-01,1.428571428571428492e-01,2.857142857142857054e-02,0.000000000000000000e+00,1.714285714285714302e-01,0.000000000000000000e+00
3.570106417284735767e-01,1.211028700419218146e-01,8.002257336343104877e-01,5.696549500161231239e-02,7.269590454692041737e-02,8.017316994517892370e-01,1.270299903257006702e-01,6.526475330538535902e-01,4.581747823282813353e-02,2.851209287326664787e-01,5.272170267655572617e-01,8.585811028700437442e-01,3.012254111576900262e-01,2.441954208319893627e-01,8.091260883585965624e-01,9.991712350854611291e-01,2.013124798452109732e-01,5.159625927120283645e-02,3.302160593356981422e-01,6.346339890357949320e-01,4.156723637536278715e-01,2.547565301515640132e-02,3.827797484682360363e-01,1.612383102225088682e-01,1.712350854563044200e-01,1.838116736536601209e-02,2.344405030635278997e-01,6.610770719122863737e-01,3.340857787810384005e-01,3.760077394388906535e-01,8.094163173169945102e-02,2.038052241212512106e-01,1.431796194775878661e-01,1.376975169300225788e-01,3.972911963882618247e-01,0.000000000000000000e+00
2.855982274741507010e-01,1.230969965534219057e-01,4.054406696208768257e-01,1.159379615952734061e-01,3.217922205809952141e-01,2.756573116691284908e-01,6.515017232890206456e-02,9.215805022156575710e-01,5.772131954702112155e-01,1.009369768586902527e+00,2.173510585918262961e-01,5.029492860659762199e-01,1.120876415558838407e-01,1.185967503692762076e-01,5.345937961595264021e-01,6.109059576563256044e-01,1.676760216642046719e-01,2.742491383554899187e-01,2.575086164451009241e-01,5.745937961595273258e-01,2.407680945347119572e-01,1.890694239290989787e-01,2.845888724766125200e-01,1.083210241260462899e-02,3.791235844411620093e-01,5.701624815361890919e-01,7.301821762678483152e-01,2.609551944854751615e-01,2.742491383554899187e-01,2.240275726243229903e-01,4.470704086656819287e-01,3.397341211225997082e-01,2.447070408665681929e-01,4.332840965041851594e-02,3.151157065484982978e-01,0.000000000000000000e+00
5.719298245614036214e-01,1.986549707602339176e-01,8.229239766081871688e-01,5.959064327485377732e-02,2.181871345029239850e-01,1.688304093567251085e-01,5.578947368421052072e-02,2.991228070175437903e-01,2.667251461988304206e-01,7.328070175438599065e-01,2.001754385964912841e-01,8.073684210526312910e-01,9.479532163742690476e-02,2.202923976608187340e-01,5.478362573099415656e-01,5.611695906432747627e-01,2.545029239766082307e-01,3.040935672514619714e-01,2.631578947368420907e-01,5.204678362573099681e-01,1.052631578947368363e-01,7.602339181286549286e-02,1.871345029239765978e-01,1.812865497076023291e-01,1.403508771929824483e-01,0.000000000000000000e+00,4.502923976608186885e-01,3.508771929824561209e-01,4.035087719298245390e-01,1.578947368421052544e-01,1.345029239766081797e-01,2.865497076023391654e-01,1.871345029239765978e-01,0.000000000000000000e+00,3.216374269005847775e-01,0.000000000000000000e+00
9.532584269662935927e-02,1.219550561797752286e-01,6.725842696629213968e-02,1.176741573033707605e-01,2.378651685393257109e-02,4.348314606741571740e-03,3.248314606741570937e-02,4.415617977528090710e-01,1.155662921348314498e+00,9.158988764044949660e-01,1.453820224719100107e-01,3.391348314606741354e-01,8.977528089887637508e-02,5.140449438202249893e-02,2.516292134831462080e-01,4.017191011235951015e-01,2.689325842696627111e-01,2.808988764044943742e-02,3.404494382022472121e-01,8.955056179775280345e-01,9.662921348314607028e-02,5.280898876404494652e-02,1.123595505617977627e-03,0.000000000000000000e+00,3.078651685393258286e-01,9.651685393258426782e-01,6.415730337078651146e-01,1.022471910112359578e-01,2.584269662921348520e-01,1.269662921348314599e-01,3.056179775280898903e-01,2.258426966292134963e-01,2.224719101123595610e-01,0.000000000000000000e+00,2.539325842696629199e-01,0.000000000000000000e+00
3.609232613908868736e-01,2.001918465227817412e-01,7.500839328537171058e-01,6.600719424460435580e-02,5.116306954436451032e-02,4.396882494004795139e-01,2.421462829736210631e-01,5.244604316546762623e-01,2.236690647482014183e-01,6.364268585131889200e-01,1.316019184652278406e+00,2.010803357314147721e+00,3.046642685851319032e-01,1.569424460431656509e-01,8.537529976019172517e-01,1.565935251798560524e+00,2.101678657074341483e-01,2.985611510791366663e-01,3.489208633093525136e-01,5.431654676258992342e-01,2.482014388489208745e-01,8.393285371702637748e-03,4.916067146282973588e-02,6.354916067146282321e-02,1.127098321342925591e-01,5.275779376498800771e-02,3.381294964028777050e-01,4.868105515587530241e-01,4.976019184652278327e-01,5.683453237410072134e-01,3.381294964028777050e-01,1.426858513189448452e-01,1.450839328537170125e-01,0.000000000000000000e+00,3.333333333333333148e-01,0.000000000000000000e+00
1.380917874396135892e-01,6.217391304347824610e-02,4.767149758454107822e-01,6.850241545893719086e-02,7.314009661835746412e-02,3.057971014492753825e-02,6.021739130434780596e-02,5.227294685990341305e-01,4.465217391304349692e-01,7.190821256038647247e-02,1.302657004830918841e-01,6.575362318840577425e-01,8.422705314009662492e-02,5.391304347826092469e-02,2.899033816425122811e-01,5.186956521739131132e-01,1.300724637681159590e-01,2.415458937198067604e-02,1.086956521739130405e-01,5.386473429951690317e-01,1.183574879227053123e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.555555555555555247e-02,5.314009661835748799e-02,6.280193236714975979e-02,6.521739130434782428e-02,2.995169082125603843e-01,2.463768115942029102e-01,9.178743961352657521e-02,1.207729468599033802e-02,3.792270531400966371e-01,9.661835748792270070e-03,0.000000000000000000e+00,1.521739130434782705e-01,0.000000000000000000e+00
5.065693430656934559e-01,1.490656934306570092e-01,5.023649635036490091e-01,1.576350364963503281e-01,2.607007299270072131e-01,4.067153284671529700e-01,1.170656934306570363e-01,8.730364963503657316e-01,3.210948905109490825e-01,4.022627737226276978e-01,3.222189781021901900e-01,1.386992700729925643e+00,1.708467153284671247e-01,2.414160583941606653e-01,7.441751824817514072e-01,6.198978102189783845e-01,2.102189781021898130e-01,3.007299270072992803e-01,3.197080291970803012e-01,5.138686131386861478e-01,5.620437956204379359e-01,9.197080291970802235e-02,5.751824817518248478e-01,1.240875912408759135e-01,4.218978102189780977e-01,8.467153284671533053e-02,2.248175182481751688e-01,5.080291970802919277e-01,5.357664233576642232e-01,4.627737226277372495e-01,2.364963503649634979e-01,1.737226277372262706e-01,2.335766423357664157e-01,7.445255474452554256e-02,1.795620437956204352e-01,0.000000000000000000e+00
