AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,label
2.664941785252263884e-01,1.849935316946959840e-01,5.297542043984475590e-01,1.532988357050452666e-01,2.069857697283311940e-02,3.622250970245795287e-02,7.115135834411384468e-03,9.055627425614488912e-02,4.398447606727037829e-02,2.166882276843467015e-01,3.712807244501940551e-01,1.862871927554980711e-01,1.494178525226390608e-01,1.966364812419146291e-01,2.723156532988357248e-01,1.300129366106080320e-01,8.020698576972833116e-02,1.371280724450194000e-01,0.000000000000000000e+00
3.468395461912479605e-01,4.619124797406807259e-01,3.889789303079416727e-01,2.901134521880064931e-01,0.000000000000000000e+00,6.482982171799027242e-03,2.544570502431118264e-01,2.350081037277147455e-01,2.755267423014586686e-02,4.197730956239870137e-01,6.823338735818476053e-01,2.917341977309562129e-01,6.239870340356563627e-01,4.327390599675851046e-01,8.914100486223662523e-02,1.361426256077795660e-01,2.333873581847649981e-01,2.042139384116693768e-01,0.000000000000000000e+00
2.000000000000000111e-01,5.142857142857142350e-01,1.142857142857142821e-01,0.000000000000000000e+00,8.000000000000000444e-01,8.000000000000000444e-01,0.000000000000000000e+00,7.428571428571428825e-01,8.000000000000000444e-01,8.000000000000000444e-01,1.714285714285714302e-01,1.428571428571428492e-01,2.285714285714285643e-01,5.428571428571428159e-01,1.428571428571428492e-01,2.857142857142857054e-02,0.000000000000000000e+00,1.714285714285714302e-01,0.000000000000000000e+00
5.159625927120283645e-02,3.302160593356981422e-01,6.346339890357949320e-01,4.156723637536278715e-01,2.547565301515640132e-02,3.827797484682360363e-01,1.612383102225088682e-01,1.712350854563044200e-01,1.838116736536601209e-02,2.344405030635278997e-01,6.610770719122863737e-01,3.340857787810384005e-01,3.760077394388906535e-01,8.094163173169945102e-02,2.038052241212512106e-01,1.431796194775878661e-01,1.376975169300225788e-01,3.972911963882618247e-01,0.000000000000000000e+00
2.742491383554899187e-01,2.575086164451009241e-01,5.745937961595273258e-01,2.407680945347119572e-01,1.890694239290989787e-01,2.845888724766125200e-01,1.083210241260462899e-02,3.791235844411620093e-01,5.701624815361890919e-01,7.301821762678483152e-01,2.609551944854751615e-01,2.742491383554899187e-01,2.240275726243229903e-01,4.470704086656819287e-01,3.397341211225997082e-01,2.447070408665681929e-01,4.332840965041851594e-02,3.151157065484982978e-01,0.000000000000000000e+00
3.040935672514619714e-01,2.631578947368420907e-01,5.204678362573099681e-01,1.052631578947368363e-01,7.602339181286549286e-02,1.871345029239765978e-01,1.812865497076023291e-01,1.403508771929824483e-01,0.000000000000000000e+00,4.502923976608186885e-01,3.508771929824561209e-01,4.035087719298245390e-01,1.578947368421052544e-01,1.345029239766081797e-01,2.865497076023391654e-01,1.871345029239765978e-01,0.000000000000000000e+00,3.216374269005847775e-01,0.000000000000000000e+00
2.808988764044943742e-02,3.404494382022472121e-01,8.955056179775280345e-01,9.662921348314607028e-02,5.280898876404494652e-02,1.123595505617977627e-03,0.000000000000000000e+00,3.078651685393258286e-01,9.651685393258426782e-01,6.415730337078651146e-01,1.022471910112359578e-01,2.584269662921348520e-01,1.269662921348314599e-01,3.056179775280898903e-01,2.258426966292134963e-01,2.224719101123595610e-01,0.000000000000000000e+00,2.539325842696629199e-01,0.000000000000000000e+00
2.985611510791366663e-01,3.489208633093525136e-01,5.431654676258992342e-01,2.482014388489208745e-01,8.393285371702637748e-03,4.916067146282973588e-02,6.354916067146282321e-02,1.127098321342925591e-01,5.275779376498800771e-02,3.381294964028777050e-01,4.868105515587530241e-01,4.976019184652278327e-01,5.683453237410072134e-01,3.381294964028777050e-01,1.426858513189448452e-01,1.450839328537170125e-01,0.000000000000000000e+00,3.333333333333333148e-01,0.000000000000000000e+00
2.415458937198067604e-02,1.086956521739130405e-01,5.386473429951690317e-01,1.183574879227053123e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.555555555555555247e-02,5.314009661835748799e-02,6.280193236714975979e-02,6.521739130434782428e-02,2.995169082125603843e-01,2.463768115942029102e-01,9.178743961352657521e-02,1.207729468599033802e-02,3.792270531400966371e-01,9.661835748792270070e-03,0.000000000000000000e+00,1.521739130434782705e-01,0.000000000000000000e+00
3.007299270072992803e-01,3.197080291970803012e-01,5.138686131386861478e-01,5.620437956204379359e-01,9.197080291970802235e-02,5.751824817518248478e-01,1.240875912408759135e-01,4.218978102189780977e-01,8.467153284671533053e-02,2.248175182481751688e-01,5.080291970802919277e-01,5.357664233576642232e-01,4.627737226277372495e-01,2.364963503649634979e-01,1.737226277372262706e-01,2.335766423357664157e-01,7.445255474452554256e-02,1.795620437956204352e-01,0.000000000000000000e+00
