frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
42,0,0.820,0.88,1,1.75,1.40,2.94,0.33,-0.23,-0.53,0.28,0.24,0.29,0.87,-0.11,0.93,0.84,0.43,-0.73,-0.21,-0.29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,0,0.840,0.88,1,1.61,1.28,2.99,0.17,-0.29,-0.64,0.28,0.35,0.24,0.89,-0.13,1.47,0.93,0.67,-0.79,-0.03,-0.31,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
44,0,0.860,0.88,1,1.84,1.69,2.75,0.29,-0.38,-0.68,0.35,0.57,0.14,0.85,0.06,1.83,0.97,0.67,-0.70,-0.32,-0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
45,0,0.880,0.88,1,1.82,2.02,2.54,0.43,-0.43,-0.76,0.39,0.61,0.11,0.93,0.46,1.93,0.89,0.66,-0.56,-0.29,0.18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
46,0,0.900,0.88,1,1.92,2.03,2.56,0.56,-0.58,-1.49,0.26,0.67,0.08,1.09,0.35,1.83,1.09,0.52,-0.49,-0.45,0.03,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
47,0,0.920,0.88,1,2.15,1.91,2.65,0.57,-0.78,-1.21,0.16,0.34,-0.13,0.96,0.38,2.06,0.76,0.53,-0.26,-0.10,-0.09,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
48,0,0.940,0.88,1,2.09,2.42,2.37,0.33,-0.78,-1.19,0.02,0.44,-0.06,0.91,0.27,1.82,0.68,0.45,-0.10,-0.03,-0.14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
49,0,0.960,0.88,1,1.73,2.58,2.37,1.11,-0.39,-0.97,0.41,0.68,0.02,0.34,0.48,2.03,0.70,0.44,-0.17,-0.35,-0.18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
50,0,0.980,0.88,1,1.51,2.45,1.96,1.13,-0.39,-0.78,0.42,0.52,0.01,0.31,0.46,1.91,0.65,0.40,-0.20,-0.29,0.02,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
51,0,1.000,0.88,1,1.30,2.15,2.13,0.99,-0.34,-0.70,0.21,0.59,-0.04,0.44,0.59,2.16,0.49,0.53,-0.07,-0.27,-0.36,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
