frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
58,0,1.140,0.98,1,0.00,0.00,0.16,0.00,0.00,0.17,0.02,0.48,0.00,0.39,0.00,0.21,0.00,0.00,0.46,0.30,0.05,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
59,0,1.160,0.98,1,0.00,0.00,0.17,0.00,0.00,0.06,0.05,0.49,0.00,0.43,0.00,0.17,0.00,0.00,0.41,0.30,0.15,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
60,0,1.180,0.93,1,0.00,0.00,0.19,0.00,0.00,0.01,0.06,0.55,0.00,0.40,0.00,0.18,0.00,0.00,0.42,0.29,0.21,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
61,0,1.200,0.98,1,0.00,0.00,0.19,0.00,0.00,0.00,0.04,0.61,0.00,0.47,0.00,0.15,0.00,0.00,0.41,0.23,0.28,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
62,0,1.220,0.93,1,0.00,0.00,0.18,0.00,0.00,0.02,0.01,0.60,0.00,0.55,0.00,0.16,0.00,0.00,0.37,0.25,0.30,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
63,0,1.240,0.93,1,0.00,0.00,0.18,0.00,0.00,0.02,0.01,0.61,0.00,0.69,0.00,0.14,0.00,0.00,0.29,0.28,0.34,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
64,0,1.260,0.93,1,0.00,0.00,0.18,0.00,0.00,0.03,0.01,0.59,0.00,0.74,0.00,0.19,0.02,0.00,0.25,0.34,0.33,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
65,0,1.280,0.93,1,0.00,0.00,0.18,0.00,0.00,0.03,0.03,0.57,0.00,0.80,0.00,0.22,0.02,0.00,0.21,0.35,0.34,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
66,0,1.300,0.93,1,0.00,0.00,0.16,0.00,0.00,0.03,0.03,0.55,0.00,0.79,0.00,0.23,0.03,0.01,0.20,0.34,0.36,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
67,0,1.320,0.93,1,0.00,0.00,0.15,0.00,0.00,0.08,0.02,0.57,0.00,0.75,0.00,0.18,0.01,0.01,0.19,0.35,0.41,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
68,0,1.340,0.93,1,0.00,0.00,0.14,0.00,0.00,0.13,0.04,0.60,0.00,0.72,0.00,0.12,0.01,0.01,0.21,0.37,0.42,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
69,0,1.360,0.93,1,0.00,0.00,0.14,0.00,0.00,0.13,0.03,0.64,0.00,0.65,0.00,0.07,0.00,0.01,0.22,0.41,0.44,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
70,0,1.380,0.93,1,0.00,0.00,0.13,0.00,0.00,0.08,0.03,0.65,0.00,0.60,0.00,0.09,0.00,0.02,0.23,0.34,0.43,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
71,0,1.400,0.93,1,0.00,0.00,0.16,0.00,0.00,0.03,0.00,0.62,0.00,0.57,0.00,0.10,0.00,0.06,0.18,0.32,0.45,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
72,0,1.420,0.93,1,0.00,0.00,0.15,0.00,0.00,0.10,0.00,0.56,0.00,0.49,0.00,0.15,0.00,0.07,0.16,0.30,0.46,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
